2017-03-31 17:09:08,011 [Daemon worker] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-03-31 17:09:08,237 [Daemon worker] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Fri Mar 31 17:09:08 CST 2017]; root of context hierarchy
2017-03-31 17:09:08,321 [Daemon worker] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-context.xml]
2017-03-31 17:09:09,548 [Daemon worker] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-shiro.xml]
2017-03-31 17:09:10,327 [Daemon worker] INFO  com.ghca.easyview.im.framework.loader.PropertiesLoader - Loading properties file from class path resource [db.properties]
2017-03-31 17:09:10,330 [Daemon worker] INFO  com.ghca.easyview.im.framework.loader.PropertiesLoader - Loading properties file from class path resource [conf.properties]
2017-03-31 17:09:10,346 [Daemon worker] INFO  o.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-03-31 17:09:11,232 [Daemon worker] INFO  org.apache.shiro.realm.AuthorizingRealm - No cache or cacheManager properties have been set.  Authorization cache cannot be obtained.
2017-03-31 17:09:11,233 [Daemon worker] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'monitorRealm' of type [class com.ghca.easyview.im.framework.shiro.LoginRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-03-31 17:09:11,312 [Daemon worker] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0' of type [class org.springframework.transaction.annotation.AnnotationTransactionAttributeSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-03-31 17:09:11,376 [Daemon worker] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor#0' of type [class org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-03-31 17:09:11,386 [Daemon worker] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.config.internalTransactionAdvisor' of type [class org.springframework.transaction.interceptor.BeanFactoryTransactionAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-03-31 17:09:11,476 [Daemon worker] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [class org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-03-31 17:09:11,631 [Daemon worker] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.ghca.easyview.im.framework.shiro.AuthenticationFilter#33b96470' of type [class com.ghca.easyview.im.framework.shiro.AuthenticationFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-03-31 17:09:14,092 [Daemon worker] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 6075 ms
2017-03-31 17:09:14,702 [Daemon worker] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springMVCServlet': initialization started
2017-03-31 17:09:14,708 [Daemon worker] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'springMVCServlet-servlet': startup date [Fri Mar 31 17:09:14 CST 2017]; parent: Root WebApplicationContext
2017-03-31 17:09:14,805 [Daemon worker] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [D:\workspace_study_srouce\bsmserver\unicom-web\build\resources\main\spring-mvc.xml]
2017-03-31 17:09:15,503 [Daemon worker] INFO  org.springframework.context.support.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [conf.properties]
2017-03-31 17:09:15,525 [Daemon worker] INFO  o.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-03-31 17:09:15,957 [Daemon worker] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/login],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.ghca.easyview.im.security.LoginController.login()
2017-03-31 17:09:15,958 [Daemon worker] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/submitLogin],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.ghca.easyview.im.security.LoginController.submitLogin(com.ghca.easyview.im.framework.entity.User,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-03-31 17:09:15,961 [Daemon worker] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/index],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.ghca.easyview.im.framework.web.IndexController.index(javax.servlet.http.HttpServletRequest) throws java.lang.Exception
2017-03-31 17:09:15,963 [Daemon worker] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.ghca.easyview.im.framework.web.IndexController.defaultIndex() throws java.lang.Exception
2017-03-31 17:09:15,965 [Daemon worker] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/portal],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.ghca.easyview.im.framework.web.IndexController.portal(javax.servlet.http.HttpServletRequest) throws java.lang.Exception
2017-03-31 17:09:16,264 [Daemon worker] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.2.Final
2017-03-31 17:09:18,081 [Daemon worker] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springMVCServlet': initialization completed in 3378 ms
2017-03-31 17:19:26,060 [Daemon worker] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-03-31 17:19:26,276 [Daemon worker] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Fri Mar 31 17:19:26 CST 2017]; root of context hierarchy
2017-03-31 17:19:26,353 [Daemon worker] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-context.xml]
2017-03-31 17:19:27,448 [Daemon worker] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring-shiro.xml]
2017-03-31 17:19:28,379 [Daemon worker] INFO  com.ghca.easyview.im.framework.loader.PropertiesLoader - Loading properties file from class path resource [db.properties]
2017-03-31 17:19:28,382 [Daemon worker] INFO  com.ghca.easyview.im.framework.loader.PropertiesLoader - Loading properties file from class path resource [conf.properties]
2017-03-31 17:19:28,432 [Daemon worker] INFO  o.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-03-31 17:19:29,344 [Daemon worker] INFO  org.apache.shiro.realm.AuthorizingRealm - No cache or cacheManager properties have been set.  Authorization cache cannot be obtained.
2017-03-31 17:19:29,346 [Daemon worker] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'monitorRealm' of type [class com.ghca.easyview.im.framework.shiro.LoginRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-03-31 17:19:29,388 [Daemon worker] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0' of type [class org.springframework.transaction.annotation.AnnotationTransactionAttributeSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-03-31 17:19:29,438 [Daemon worker] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor#0' of type [class org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-03-31 17:19:29,441 [Daemon worker] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.config.internalTransactionAdvisor' of type [class org.springframework.transaction.interceptor.BeanFactoryTransactionAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-03-31 17:19:29,488 [Daemon worker] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [class org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-03-31 17:19:29,542 [Daemon worker] INFO  o.s.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.ghca.easyview.im.framework.shiro.AuthenticationFilter#5fa05dda' of type [class com.ghca.easyview.im.framework.shiro.AuthenticationFilter] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-03-31 17:19:31,598 [Daemon worker] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 5533 ms
2017-03-31 17:19:31,941 [Daemon worker] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springMVCServlet': initialization started
2017-03-31 17:19:31,946 [Daemon worker] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'springMVCServlet-servlet': startup date [Fri Mar 31 17:19:31 CST 2017]; parent: Root WebApplicationContext
2017-03-31 17:19:31,979 [Daemon worker] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [D:\workspace_study_srouce\bsmserver\unicom-web\build\resources\main\spring-mvc.xml]
2017-03-31 17:19:32,790 [Daemon worker] INFO  org.springframework.context.support.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [conf.properties]
2017-03-31 17:19:32,810 [Daemon worker] INFO  o.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-03-31 17:19:33,281 [Daemon worker] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/submitLogin],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.ghca.easyview.im.security.LoginController.submitLogin(com.ghca.easyview.im.framework.entity.User,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-03-31 17:19:33,291 [Daemon worker] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/login],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.ghca.easyview.im.security.LoginController.login()
2017-03-31 17:19:33,295 [Daemon worker] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/index],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.ghca.easyview.im.framework.web.IndexController.index(javax.servlet.http.HttpServletRequest) throws java.lang.Exception
2017-03-31 17:19:33,297 [Daemon worker] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView com.ghca.easyview.im.framework.web.IndexController.defaultIndex() throws java.lang.Exception
2017-03-31 17:19:33,299 [Daemon worker] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/portal],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.ghca.easyview.im.framework.web.IndexController.portal(javax.servlet.http.HttpServletRequest) throws java.lang.Exception
2017-03-31 17:19:33,561 [Daemon worker] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.2.Final
2017-03-31 17:19:36,034 [Daemon worker] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'springMVCServlet': initialization completed in 4093 ms
2017-03-31 17:22:55,262 [Timer-1] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Closing WebApplicationContext for namespace 'springMVCServlet-servlet': startup date [Fri Mar 31 17:19:31 CST 2017]; parent: Root WebApplicationContext
2017-03-31 17:22:55,278 [Timer-1] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Closing Root WebApplicationContext: startup date [Fri Mar 31 17:19:26 CST 2017]; root of context hierarchy
2017-03-31 17:22:57,012 [Timer-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-03-31 17:22:57,249 [Timer-1] INFO  org.springframework.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Fri Mar 31 17:22:57 CST 2017]; root of context hierarchy
